prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
60MQ,2SA1V,2SA1V,7U52V,FONSEAssetID,,Paranormal Activity 3,851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MU,2SA6V,2SA6V,7U94V,FONSEAssetID,,Road to Perdition,851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MW,2SA7V,2SA7V,8CFXV,FONSEAssetID,,Rapport minoritaire (v.fr. de Minority Report),851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60MY,2SA8V,2SA8V,8CBUV,FONSEAssetID,,La voie de perdition (v.fr. de Road To Perdition),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60N9,2SATV,2SATV,74IZV,FONSEAssetID,,Serenity,570,2013/11/15 05:01,2020/11/01 02:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60NB,2SAUV,2SAUV,ABG8V,FONSEAssetID,5T9GV,Teen Wolf,594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
60ND,2SAVV,2SAVV,ABG9V,FONSEAssetID,5T91V,Raging Bull,594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
60NF,2SAWV,2SAWV,7UA4V,FONSEAssetID,,Saturday Night Fever,851,2013/11/15 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60NJ,2SB1V,2SB1V,74J0V,FONSEAssetID,,Scott Pilgrim vs. the World,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60NL,2SB2V,2SB2V,74J1V,FONSEAssetID,,Twelve Monkeys,570,2013/11/15 00:01,2020/10/30 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60NN,2SB3V,2SB3V,7UD4V,FONSEAssetID,,The SpongeBob Squarepants Movie,851,2013/11/15 05:01,2036/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60NP,2SB4V,2SB4V,8B3BV,FONSEAssetID,,The Ten Commandments(1956),851,2013/11/15 05:01,2036/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60Q6,2SE1V,2SE1V,AB4FV,FONSEAssetID,IET8V,Holmes le fait bien S1 Ep17,1150,2013/11/25 00:00,2018/08/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
60RA,2SG6V,2SG6V,74J2V,FONSEAssetID,,Tremors,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60Z2,2SQCV,2SQCV,ABK2V,FONSEAssetID,,Teen Wolf Too,594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60Z4,2SQDV,2SQDV,74J3V,FONSEAssetID,,Born on the Fourth of July,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60ZG,2SQXV,2SQXV,74J4V,FONSEAssetID,,Van Helsing,570,2013/11/19 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60ZU,2SROV,2SROV,75SLV,FONSEAssetID,75SKV,Blade II,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
