contractid|providerid|priority|vodtype
1484|musimax.com|#N/A|SVOD
1485|Seriesplus|P2|SVOD
1486|Historia|P3|SVOD
1487|cbc.ca|P1|SVOD
1488|CTV|P1|SVOD
1489|Global|P1|SVOD
1490|CITYVOD|P1|SVOD
1492|BellLocal.ca|#N/A|SVOD
1493|www.src.ca|P1|SVOD
1495|BAL|#N/A|SVOD
1498|www.paramountondemand.com|TVOD|TVOD
1503|nfl.com|P3|SVOD
1504|spiketv.com|#N/A|SVOD
1505|bet.com|P2|SVOD
1509|telequebec.ca|P1|SVOD
1510|www.dummy.ca|TVOD|TVOD
1516|telequebec_clubjunior.ca|#N/A|SVOD
1517|raptors.ca|#N/A|SVOD
1518|smithsonianchannel.ca|P3|SVOD
1521|crave.ca|P1|SVOD
1526|thecomedynetwork.ca|P2|SVOD
1528|telemag.tv|P2|SVOD
1530|tvo.org|#N/A|SVOD
1533|www.remstar.ca|TVOD|TVOD
1535|nba.com|#N/A|SVOD
1536|comedytime.tv|#N/A|SVOD
1539|CTV|P1|SVOD
1540|sony.ca|TVOD|TVOD
1542|fxcanada.ca|P2|SVOD
1543|fxx.com|P2|SVOD
1562|omnitv.ca|P3|SVOD
1563|TV5.ca|P3|SVOD
1565|DJE|P2|SVOD
1566|DJE|P2|SVOD
1567|familyjr|P2|SVOD
1568|DXD|P2|SVOD
1569|kidssuite.com|P2|SVOD
1571|mgm.com|TVOD|TVOD
1574|amctv.com|P1|SVOD
1576|kidssuite.com|P2|SVOD
1577|bbc.com|P2|SVOD
1578|www.bbckids.ca|P2|SVOD
1579|www.fitfusion.com|TVOD|TVOD
1580|nbcuni.com|TVOD|TVOD
1581|nbcuni.com|TVOD|TVOD
1586|www.juice.ca|TVOD|TVOD
1592|www.bell.ca|TVOD|TVOD
1593|protocolent.com|#N/A|SVOD
1604|www.raven.ca|TVOD|TVOD
1605|www.raven.ca|TVOD|TVOD
1612|www.hustler.com|TVOD|TVOD
1614|zt.com|TVOD|TVOD
1625|panam_english.com|#N/A|SVOD
1626|panam_french.com|#N/A|SVOD
1640|animalplanet.ca|P2|SVOD
1641|discovery.ca|P2|SVOD
1642|sciencechannel.ca|P2|SVOD
1643|discoveryvelocity.ca|P2|SVOD
1644|investigationdiscovery.ca|P2|SVOD
1646|diy.ca|P3|SVOD
1650|allianceatlantis.ca|TVOD|TVOD
1651|freepreviewms.com|#N/A|SVOD
1652|freepreviewtv.com|TVOD|TVOD
1659|disney.com|P2|SVOD
1660|disneyfr.com|P2|SVOD
1661|fibetv1.ca|P1|SVOD
1662|tv1fibe.ca|P1|SVOD
1665|tmn.ca|P1|SVOD
1667|tva.ca|P1|SVOD
1668|familyjr|P2|SVOD
1669|telemagino|P3|SVOD
1670|chrgd|P2|SVOD
1671|nflsundayticket.com|P3|SVOD
